"","day","method","sample","sample_no","time","accu","rps"
"1",2,"t",106,19,3.95,0.610778443113772,0.168369956853943
"2",3,"t",106,19,4.10999999999999,0.610778443113772,0.168369956853943
"3",2,"t",106,21,3.95,0.598802395209581,0.169047161625073
"4",3,"t",106,21,4.10999999999999,0.598802395209581,0.169047161625073
"5",3,"s",106,19,2.88,0.580838323353293,0.169314259683016
"6",2,"t",106,25,3.95,0.598802395209581,0.169712774354087
"7",3,"t",106,25,4.10999999999999,0.598802395209581,0.169712774354087
"8",3,"s",142,21,2.88,0.580838323353293,0.16977951396549
"9",3,"s",142,25,2.88,0.598802395209581,0.169860125300759
"10",3,"s",160,19,2.88,0.598802395209581,0.169891158625184
"11",2,"t",142,25,3.95,0.580838323353293,0.169959313994362
"12",3,"t",142,25,4.10999999999999,0.580838323353293,0.169959313994362
"13",4,"w",106,19,1.91999999999996,0.586826347305389,0.169969236175831
"14",3,"s",106,21,2.88,0.586826347305389,0.170014333827789
"15",3,"s",142,23,2.88,0.598802395209581,0.170166284833954
"16",2,"t",142,21,3.95,0.598802395209581,0.170200130195028
"17",3,"t",142,21,4.10999999999999,0.598802395209581,0.170200130195028
"18",2,"t",106,23,3.95,0.604790419161677,0.170340662008721
"19",3,"t",106,23,4.10999999999999,0.604790419161677,0.170340662008721
"20",3,"w",106,19,2,0.562874251497006,0.170341959796403
"21",2,"t",142,19,3.95,0.586826347305389,0.170587173914246
"22",3,"t",142,19,4.10999999999999,0.586826347305389,0.170587173914246
"23",4,"t",160,19,3.94999999999999,0.586826347305389,0.170610394346136
"24",4,"w",142,25,1.91999999999996,0.592814371257485,0.170613706953979
"25",2,"t",160,19,3.95,0.592814371257485,0.170627071317191
"26",3,"t",160,19,4.10999999999999,0.592814371257485,0.170627071317191
"27",4,"w",106,21,1.91999999999996,0.586826347305389,0.170651331145831
"28",2,"t",142,23,3.95,0.598802395209581,0.170714539070204
"29",3,"t",142,23,4.10999999999999,0.598802395209581,0.170714539070204
"30",3,"s",142,19,2.88,0.580838323353293,0.170756649658148
"31",3,"w",142,25,2,0.574850299401198,0.17081485068238
"32",3,"s",106,25,2.88,0.568862275449102,0.170908769097861
"33",4,"w",160,19,1.91999999999996,0.598802395209581,0.170941086416078
"34",2,"s",106,19,3.28,0.55688622754491,0.170999446298493
"35",3,"w",106,21,2,0.568862275449102,0.171044737186094
"36",3,"w",142,21,2,0.574850299401198,0.171117551139526
"37",3,"w",160,19,2,0.580838323353293,0.171185021351217
"38",4,"w",142,21,1.91999999999996,0.574850299401198,0.171196482611402
"39",4,"s",106,19,2.81,0.586826347305389,0.171199568557428
"40",3,"s",106,23,2.88,0.580838323353293,0.171319811007318
"41",3,"w",142,23,2,0.580838323353293,0.171517737578867
"42",4,"s",160,19,2.81,0.604790419161677,0.171553037382388
"43",4,"w",142,23,1.91999999999996,0.568862275449102,0.171561933621013
"44",2,"s",106,21,3.28,0.544910179640719,0.171691126244699
"45",4,"t",169,21,3.94999999999999,0.55688622754491,0.171728476655431
"46",4,"t",166,19,3.94999999999999,0.580838323353293,0.171730409980089
"47",4,"w",106,25,1.91999999999996,0.586826347305389,0.171759955326277
"48",3,"s",169,21,2.88,0.610778443113772,0.171831987234159
"49",4,"s",106,21,2.81,0.574850299401198,0.171856584095067
"50",4,"t",106,19,3.94999999999999,0.568862275449102,0.171859511167364
"51",4,"t",169,19,3.94999999999999,0.55688622754491,0.17187341442889
"52",3,"s",160,21,2.88,0.574850299401198,0.171933116282948
"53",3,"s",169,19,2.88,0.598802395209581,0.17197473630156
"54",2,"t",167,21,3.95,0.580838323353293,0.172028791025332
"55",3,"t",167,21,4.10999999999999,0.580838323353293,0.172028791025332
"56",2,"t",167,19,3.95,0.604790419161677,0.172033178003185
"57",3,"t",167,19,4.10999999999999,0.604790419161677,0.172033178003185
"58",4,"t",177,19,3.94999999999999,0.580838323353293,0.172034854792582
"59",4,"w",142,19,1.91999999999996,0.568862275449102,0.172050075972566
"60",4,"w",106,23,1.91999999999996,0.598802395209581,0.172073576205957
"61",2,"w",106,19,2.44,0.562874251497006,0.172084606455129
"62",3,"w",142,19,2,0.574850299401198,0.172104569545998
"63",4,"s",169,21,2.81,0.568862275449102,0.172109074971858
"64",2,"s",142,25,3.28,0.55688622754491,0.172118649118451
"65",2,"t",169,21,3.95,0.586826347305389,0.172170993582119
"66",3,"t",169,21,4.10999999999999,0.586826347305389,0.172170993582119
"67",2,"t",169,25,3.95,0.604790419161677,0.172260148015937
"68",3,"t",169,25,4.10999999999999,0.604790419161677,0.172260148015937
"69",2,"t",169,19,3.95,0.580838323353293,0.172298913239005
"70",3,"t",169,19,4.10999999999999,0.580838323353293,0.172298913239005
"71",4,"s",169,19,2.81,0.55688622754491,0.17231937540665
"72",3,"s",167,21,2.88,0.586826347305389,0.17244713631296
"73",3,"w",106,25,2,0.574850299401198,0.172463251961038
"74",3,"s",160,23,2.88,0.586826347305389,0.172465129536313
"75",3,"w",106,23,2,0.574850299401198,0.17247093304411
"76",4,"t",106,21,3.94999999999999,0.580838323353293,0.172473175770706
"77",3,"s",167,19,2.88,0.592814371257485,0.172517751722632
"78",2,"w",142,25,2.44,0.544910179640719,0.172528924736446
"79",2,"w",160,19,2.44,0.580838323353293,0.172594970423752
"80",2,"t",169,23,3.95,0.592814371257485,0.172608420881118
"81",3,"t",169,23,4.10999999999999,0.592814371257485,0.172608420881118
"82",4,"s",166,19,2.81,0.598802395209581,0.172623907921135
"83",4,"s",142,25,2.81,0.574850299401198,0.172627495361061
"84",3,"s",160,25,2.88,0.580838323353293,0.172634838037069
"85",4,"t",160,21,3.94999999999999,0.574850299401198,0.172659620873711
"86",4,"t",169,23,3.94999999999999,0.550898203592814,0.172695047767563
"87",2,"t",160,21,3.95,0.568862275449102,0.172738144915857
"88",3,"t",160,21,4.10999999999999,0.568862275449102,0.172738144915857
"89",3,"s",169,25,2.88,0.592814371257485,0.172743550614115
"90",2,"s",142,21,3.28,0.562874251497006,0.172743848349662
"91",3,"s",166,19,2.88,0.592814371257485,0.172750764566601
"92",4,"t",142,21,3.94999999999999,0.580838323353293,0.172785482198758
"93",3,"s",169,23,2.88,0.586826347305389,0.172787034502043
"94",4,"t",169,25,3.94999999999999,0.544910179640719,0.172800443139533
"95",4,"t",160,23,3.94999999999999,0.574850299401198,0.172830316186839
"96",2,"w",106,21,2.44,0.568862275449102,0.172842337986986
"97",4,"w",160,21,1.91999999999996,0.55688622754491,0.172850387247763
"98",2,"w",142,21,2.44,0.586826347305389,0.172871053838765
"99",2,"s",160,19,3.28,0.586826347305389,0.172876247947725
"100",4,"s",142,21,2.81,0.574850299401198,0.172894887874777
"101",2,"s",142,19,3.28,0.562874251497006,0.172931675268981
"102",4,"s",165,19,2.81,0.580838323353293,0.172950245925446
"103",4,"t",171,19,3.94999999999999,0.550898203592814,0.172971458906855
"104",4,"s",106,25,2.81,0.574850299401198,0.173063916669952
"105",4,"w",169,21,1.91999999999996,0.598802395209581,0.173079307685244
"106",4,"t",166,21,3.94999999999999,0.562874251497006,0.173080307332575
"107",2,"t",173,21,3.95,0.568862275449102,0.173113845366719
"108",3,"t",173,21,4.10999999999999,0.568862275449102,0.173113845366719
"109",4,"t",142,23,3.94999999999999,0.580838323353293,0.173122841274884
"110",3,"s",173,21,2.88,0.580838323353293,0.173126147580235
"111",2,"s",106,25,3.28,0.55688622754491,0.173135808707157
"112",2,"s",167,19,3.28,0.568862275449102,0.173147429417058
"113",4,"w",160,23,1.91999999999996,0.562874251497006,0.17316137074028
"114",4,"t",142,19,3.94999999999999,0.580838323353293,0.173182525750761
"115",3,"s",172,25,2.88,0.604790419161677,0.173182604506829
"116",2,"s",142,23,3.28,0.568862275449102,0.173183653694505
"117",4,"w",169,19,1.91999999999996,0.592814371257485,0.173189621677934
"118",4,"s",166,21,2.81,0.580838323353293,0.173202428343056
"119",3,"w",167,19,2,0.580838323353293,0.173208647694946
"120",4,"s",160,21,2.81,0.574850299401198,0.173211176189249
"121",2,"s",106,23,3.28,0.562874251497006,0.173223643906603
"122",2,"w",142,23,2.44,0.586826347305389,0.173225577963439
"123",4,"s",142,23,2.81,0.574850299401198,0.17325035832976
"124",3,"w",167,21,2,0.562874251497006,0.173251251163932
"125",4,"s",160,23,2.81,0.568862275449102,0.17325567782752
"126",4,"s",106,23,2.81,0.574850299401198,0.173260965876379
"127",4,"s",169,23,2.81,0.550898203592814,0.173287626772231
"128",3,"w",160,21,2,0.574850299401198,0.173316857423526
"129",3,"s",172,23,2.88,0.592814371257485,0.173330981105663
"130",4,"t",165,25,3.94999999999999,0.604790419161677,0.173338751697316
"131",4,"t",160,25,3.94999999999999,0.580838323353293,0.173347096236983
"132",2,"s",167,21,3.28,0.55688622754491,0.173349518192283
"133",3,"s",172,21,2.88,0.580838323353293,0.173352401491854
"134",4,"w",176,19,1.91999999999996,0.568862275449102,0.173369596716626
"135",2,"t",165,25,3.95,0.586826347305389,0.173414756172432
"136",3,"t",165,25,4.10999999999999,0.586826347305389,0.173414756172432
"137",4,"w",160,25,1.91999999999996,0.568862275449102,0.173426267991062
"138",2,"t",160,23,3.95,0.562874251497006,0.173443239454189
"139",3,"t",160,23,4.10999999999999,0.562874251497006,0.173443239454189
"140",4,"w",165,19,1.91999999999996,0.586826347305389,0.173446745689859
"141",4,"s",169,25,2.81,0.538922155688623,0.173449784948151
"142",4,"t",177,25,3.94999999999999,0.574850299401198,0.173455761651609
"143",4,"s",176,19,2.81,0.574850299401198,0.173463269064754
"144",4,"w",173,21,1.91999999999996,0.580838323353293,0.173469047392907
"145",3,"s",164,23,2.88,0.598802395209581,0.173481977609641
"146",4,"w",167,19,1.91999999999996,0.574850299401198,0.173486586441065
"147",3,"s",171,19,2.88,0.574850299401198,0.173489433177029
"148",2,"t",173,25,3.95,0.562874251497006,0.173526964048187
"149",3,"t",173,25,4.10999999999999,0.562874251497006,0.173526964048187
"150",4,"t",177,23,3.94999999999999,0.568862275449102,0.173529712049774
"151",3,"w",176,19,2,0.574850299401198,0.173543965361168
"152",4,"s",142,19,2.81,0.586826347305389,0.173545875844257
"153",3,"s",165,25,2.88,0.604790419161677,0.17355625344049
"154",3,"s",176,19,2.88,0.574850299401198,0.173556747129143
"155",4,"t",177,21,3.94999999999999,0.568862275449102,0.173603693732298
"156",4,"t",106,25,3.94999999999999,0.562874251497006,0.17360430825038
"157",2,"w",142,19,2.44,0.562874251497006,0.173613533067865
"158",4,"s",177,19,2.81,0.586826347305389,0.173645743553161
"159",4,"t",165,19,3.94999999999999,0.580838323353293,0.173659405567425
"160",4,"w",165,25,1.91999999999996,0.586826347305389,0.173677762970342
"161",4,"s",160,25,2.81,0.580838323353293,0.173705423302904
"162",2,"t",160,25,3.95,0.568862275449102,0.173705987859431
"163",3,"t",160,25,4.10999999999999,0.568862275449102,0.173705987859431
"164",3,"w",173,21,2,0.568862275449102,0.173715213687394
"165",4,"w",169,25,1.91999999999996,0.568862275449102,0.173727925765005
"166",4,"t",142,25,3.94999999999999,0.568862275449102,0.173729744843502
"167",4,"w",167,21,1.91999999999996,0.574850299401198,0.173730483652836
"168",2,"t",173,19,3.95,0.568862275449102,0.173741505674387
"169",3,"t",173,19,4.10999999999999,0.568862275449102,0.173741505674387
"170",4,"w",166,19,1.91999999999996,0.568862275449102,0.17377693069408
"171",4,"w",164,23,1.91999999999996,0.580838323353293,0.173792093962305
"172",3,"s",173,19,2.88,0.568862275449102,0.173794405113178
"173",4,"t",106,23,3.94999999999999,0.562874251497006,0.173808807865804
"174",4,"w",169,23,1.91999999999996,0.568862275449102,0.173826582214048
"175",3,"w",169,21,2,0.586826347305389,0.173846977831285
"176",3,"w",169,19,2,0.574850299401198,0.173859812026994
"177",4,"s",165,25,2.81,0.610778443113772,0.173863449286837
"178",3,"w",160,23,2,0.574850299401198,0.173881596423405
"179",2,"t",165,19,3.95,0.580838323353293,0.173890821894067
"180",3,"t",165,19,4.10999999999999,0.580838323353293,0.173890821894067
"181",4,"s",171,19,2.81,0.55688622754491,0.173921747612223
"182",2,"w",167,19,2.44,0.55688622754491,0.174066484347073
"183",4,"w",172,23,1.91999999999996,0.574850299401198,0.174076935442665
"184",4,"s",165,23,2.81,0.586826347305389,0.174098446594267
"185",3,"w",160,25,2,0.568862275449102,0.174105028178592
"186",4,"t",165,23,3.94999999999999,0.586826347305389,0.174108661277257
"187",3,"w",164,23,2,0.574850299401198,0.174130387759523
"188",4,"t",176,19,3.94999999999999,0.562874251497006,0.174136047356834
"189",4,"w",173,19,1.91999999999996,0.568862275449102,0.174161268203529
"190",4,"w",172,21,1.91999999999996,0.580838323353293,0.174195249138749
"191",2,"w",167,21,2.44,0.562874251497006,0.17421576601202
"192",3,"w",173,19,2,0.568862275449102,0.174231820124433
"193",3,"w",169,25,2,0.562874251497006,0.17423284626946
"194",2,"w",176,19,2.44,0.55688622754491,0.17424313153751
"195",2,"t",173,23,3.95,0.580838323353293,0.174248349475528
"196",3,"t",173,23,4.10999999999999,0.580838323353293,0.174248349475528
"197",2,"t",166,19,3.95,0.574850299401198,0.17427245769793
"198",3,"t",166,19,4.10999999999999,0.574850299401198,0.17427245769793
"199",3,"w",169,23,2,0.550898203592814,0.174276830636473
"200",2,"t",172,21,3.95,0.568862275449102,0.174300306038095
"201",3,"t",172,21,4.10999999999999,0.568862275449102,0.174300306038095
"202",4,"w",164,21,1.91999999999996,0.562874251497006,0.174303184693007
"203",3,"s",164,21,2.88,0.574850299401198,0.174318867351571
"204",3,"w",172,23,2,0.574850299401198,0.174320425727915
"205",2,"t",176,19,3.95,0.568862275449102,0.174334308539374
"206",3,"t",176,19,4.10999999999999,0.568862275449102,0.174334308539374
"207",3,"s",165,19,2.88,0.586826347305389,0.174343579571493
"208",4,"w",165,23,1.91999999999996,0.598802395209581,0.174347498086754
"209",3,"w",172,21,2,0.568862275449102,0.174375457765021
"210",3,"s",172,19,2.88,0.580838323353293,0.174409600950324
"211",2,"w",106,23,2.44,0.550898203592814,0.174416994336962
"212",4,"w",173,25,1.91999999999996,0.562874251497006,0.17442621279815
"213",3,"s",177,19,2.88,0.586826347305389,0.174429529116943
"214",3,"w",165,25,2,0.592814371257485,0.174432928208341
"215",4,"s",173,21,2.81,0.562874251497006,0.174480163399674
"216",4,"s",176,21,2.81,0.568862275449102,0.174482509287658
"217",2,"t",172,19,3.95,0.586826347305389,0.174485767725398
"218",3,"t",172,19,4.10999999999999,0.586826347305389,0.174485767725398
"219",3,"s",180,25,2.88,0.574850299401198,0.174492147333229
"220",2,"t",172,23,3.95,0.568862275449102,0.174508592386546
"221",3,"t",172,23,4.10999999999999,0.568862275449102,0.174508592386546
"222",4,"s",164,21,2.81,0.580838323353293,0.174512715852667
"223",4,"w",172,25,1.91999999999996,0.586826347305389,0.174523889914345
"224",4,"t",176,21,3.94999999999999,0.562874251497006,0.17453766372761
"225",3,"s",173,25,2.88,0.580838323353293,0.174557086114512
"226",3,"w",173,25,2,0.562874251497006,0.17456255453484
"227",4,"w",171,19,1.91999999999996,0.568862275449102,0.174563307236075
"228",4,"s",164,23,2.81,0.562874251497006,0.174565597606454
"229",3,"w",165,19,2,0.568862275449102,0.174567068410932
"230",2,"t",170,21,3.95,0.55688622754491,0.174573962688495
"231",3,"t",170,21,4.10999999999999,0.55688622754491,0.174573962688495
"232",3,"s",165,23,2.88,0.592814371257485,0.17458699426549
"233",4,"t",164,21,3.94999999999999,0.586826347305389,0.174588357301945
"234",2,"s",169,25,3.28,0.544910179640719,0.174597453430526
"235",4,"t",166,23,3.94999999999999,0.562874251497006,0.174617984365597
"236",2,"w",173,21,2.44,0.55688622754491,0.174629019238275
"237",4,"s",176,23,2.81,0.574850299401198,0.174631435771996
"238",2,"s",173,21,3.28,0.550898203592814,0.174686379513785
"239",2,"t",164,23,3.95,0.550898203592814,0.174696419403718
"240",3,"t",164,23,4.10999999999999,0.550898203592814,0.174696419403718
"241",4,"t",165,21,3.94999999999999,0.580838323353293,0.174699115326797
"242",4,"t",173,21,3.94999999999999,0.55688622754491,0.174706252604955
"243",4,"w",173,23,1.91999999999996,0.574850299401198,0.174725413273137
"244",4,"s",166,23,2.81,0.568862275449102,0.174731756435044
"245",3,"w",172,19,2,0.592814371257485,0.17474260558095
"246",3,"s",170,21,2.88,0.55688622754491,0.174742827902822
"247",3,"w",176,23,2,0.574850299401198,0.174750321027635
"248",3,"s",180,23,2.88,0.580838323353293,0.174758163255444
"249",4,"t",176,23,3.94999999999999,0.55688622754491,0.174764458948486
"250",4,"w",176,21,1.91999999999996,0.580838323353293,0.174780159094731
"251",3,"s",164,19,2.88,0.568862275449102,0.174785059133618
"252",4,"w",176,23,1.91999999999996,0.580838323353293,0.174813108240131
"253",3,"w",176,21,2,0.574850299401198,0.174821340701945
"254",4,"w",164,19,1.91999999999996,0.586826347305389,0.174825142425509
"255",2,"t",170,23,3.95,0.562874251497006,0.174832226852131
"256",3,"t",170,23,4.10999999999999,0.562874251497006,0.174832226852131
"257",2,"s",169,23,3.28,0.544910179640719,0.174833020738963
"258",3,"w",173,23,2,0.55688622754491,0.174843084695192
"259",2,"t",171,19,3.95,0.574850299401198,0.174848701683614
"260",3,"t",171,19,4.10999999999999,0.574850299401198,0.174848701683614
"261",4,"t",164,19,3.94999999999999,0.586826347305389,0.17484998813313
"262",2,"w",106,25,2.44,0.544910179640719,0.174850375439687
"263",4,"t",164,23,3.94999999999999,0.574850299401198,0.174864887521619
"264",4,"s",165,21,2.81,0.586826347305389,0.174870137501454
"265",2,"w",176,23,2.44,0.568862275449102,0.174884873465938
"266",4,"s",177,25,2.81,0.580838323353293,0.174909151361492
"267",3,"s",168,21,2.88,0.55688622754491,0.174911283734794
"268",2,"w",160,21,2.44,0.568862275449102,0.17491933127649
"269",2,"s",165,19,3.28,0.574850299401198,0.174929433320794
"270",2,"s",160,21,3.28,0.580838323353293,0.17493308596693
"271",2,"w",164,23,2.44,0.568862275449102,0.174937474454941
"272",2,"t",168,21,3.95,0.562874251497006,0.174950397131343
"273",3,"t",168,21,4.10999999999999,0.562874251497006,0.174950397131343
